Date;AGG;IJS;SPY
2005-01-03;53.82813262939453;21.96914291381836;82.31668853759766
2005-01-04;53.775596618652344;21.57520294189453;81.31082153320312
2005-01-05;53.75457000732422;21.173934936523438;80.74969482421875
2005-01-06;53.7913703918457;21.30036735534668;81.16027069091797
2005-01-07;53.775596618652344;21.025516510009766;81.0439682006836
2005-01-10;53.74932861328125;21.20691680908203;81.42711639404297
2005-01-11;53.82288360595703;20.924739837646484;80.86603546142578
2005-01-12;53.90174102783203;21.067663192749023;81.13290405273438
2005-01-13;54.03315734863281;20.950393676757812;80.48285675048828
2005-01-14;53.838680267333984;21.20691680908203;80.90708923339844
2005-01-18;53.98060989379883;21.512908935546875;81.74874114990234
2005-01-19;54.05943298339844;21.25638771057129;80.8934326171875
2005-01-20;54.133033752441406;21.137296676635742;80.40074920654297
2005-01-21;54.159339904785156;21.034677505493164;79.90807342529297
2005-01-24;54.16981887817383;20.902751922607422;79.75069427490234
2005-01-25;54.07518768310547;20.908246994018555;79.97647857666016
2005-01-26;54.04890441894531;21.254549026489258;80.21599578857422
2005-01-27;53.97532272338867;21.326025009155273;80.35283660888672
2005-01-28;54.159339904785156;21.173934936523438;80.35283660888672
2005-01-31;54.09099197387695;21.591691970825195;80.85236358642578
2005-02-01;54.148468017578125;21.70530128479004;81.36554718017578
2005-02-02;54.19062805175781;21.888532638549805;81.61184692382812
2005-02-03;54.12202835083008;21.851877212524414;81.39977264404297
2005-02-04;54.34880447387695;22.128559112548828;82.26879119873047
2005-02-07;54.359344482421875;22.14320945739746;82.15927124023438
2005-02-08;54.39101791381836;22.216510772705078;82.25508880615234
2005-02-09;54.53863525390625;21.785919189453125;81.6392593383789
2005-02-10;54.25918197631836;21.857379913330078;81.9334945678711
2005-02-11;54.33296585083008;22.02411651611328;82.6382827758789
2005-02-14;54.34351348876953;22.08824348449707;82.5766830444336
2005-02-15;54.23808288574219;22.102903366088867;82.88463592529297
2005-02-16;54.1748161315918;22.18718910217285;82.9393539428711
2005-02-17;54.148468017578125;21.994792938232422;82.26879119873047
2005-02-18;54.16426467895508;22.00762367248535;82.37825012207031
2005-02-22;54.01134490966797;21.61734962463379;81.1534423828125
2005-02-23;54.0377197265625;21.727291107177734;81.73506164550781
2005-02-24;53.984981536865234;21.954492568969727;82.27562713623047
2005-02-25;54.032470703125;22.284305572509766;83.08988189697266
2005-02-28;53.89006423950195;22.218338012695312;82.54248046875
2005-03-01;53.85150909423828;22.4638614654541;82.9530258178711
2005-03-02;53.78274154663086;22.36309242248535;82.91199493408203
2005-03-03;53.82503890991211;22.460205078125;82.94620513916016
2005-03-04;53.97838592529297;22.755197525024414;83.97940826416016
2005-03-07;53.99423599243164;22.692913055419922;84.0204849243164
2005-03-08;53.87792205810547;22.551822662353516;83.70572662353516
2005-03-09;53.55016326904297;22.26414680480957;82.77513885498047
2005-03-10;53.48667907714844;22.090084075927734;82.95990753173828
2005-03-11;53.52895736694336;22.110233306884766;82.37825012207031
2005-03-14;53.507808685302734;22.209184646606445;82.89146423339844
2005-03-15;53.51839828491211;22.13404655456543;82.20719909667969
2005-03-16;53.5554084777832;22.068092346191406;81.50924682617188
2005-03-17;53.544837951660156;22.139551162719727;81.67349243164062
2005-03-18;53.507808685302734;22.047935485839844;81.43096923828125
2005-03-21;53.507808685302734;22.036943435668945;81.12871551513672
2005-03-22;53.21702575683594;21.895856857299805;80.30438232421875
2005-03-23;53.28575897216797;21.699800491333008;80.3730697631836
2005-03-24;53.317501068115234;21.776762008666992;80.46923065185547
2005-03-28;53.21171951293945;21.817214965820312;80.58602142333984
2005-03-29;53.18000411987305;21.43838882446289;80.05023956298828
2005-03-30;53.338619232177734;21.778594970703125;81.18364715576172
2005-03-31;53.36505889892578;21.693998336791992;81.03253936767578
2005-04-01;53.67970657348633;21.660911560058594;80.6684799194336
2005-04-04;53.61601638793945;21.79883575439453;80.80580139160156
2005-04-05;53.50993728637695;21.791465759277344;81.19051361083984
2005-04-06;53.64786148071289;21.791465759277344;81.4721908569336
2005-04-07;53.584171295166016;21.87973976135254;81.91185760498047
2005-04-08;53.584171295166016;21.616769790649414;81.06002807617188
2005-04-11;53.68500518798828;21.515623092651367;81.12184143066406
2005-04-12;53.83351516723633;21.76755714416504;81.54088592529297
2005-04-13;53.90781021118164;21.473329544067383;80.57916259765625
2005-04-14;53.95557403564453;21.019123077392578;79.52814483642578
2005-04-15;54.14653015136719;20.64213752746582;78.41522979736328
2005-04-18;54.08285903930664;20.87015724182129;78.65569305419922
2005-04-19;54.15186309814453;21.068763732910156;79.28081512451172
2005-04-20;54.189002990722656;20.73040199279785;78.17481994628906
2005-04-21;54.056358337402344;21.120258331298828;79.6929702758789
2005-04-22;54.167789459228516;20.8903865814209;79.39075469970703
2005-04-25;54.14653015136719;21.074281692504883;79.91281127929688
2005-04-26;54.013885498046875;20.864641189575195;79.13653564453125
2005-04-27;54.23673629760742;20.87567710876465;79.44568634033203
2005-04-28;54.3746452331543;20.428813934326172;78.44964599609375
2005-04-29;54.28449630737305;20.583293914794922;79.51438903808594
2005-05-02;54.28663635253906;20.811311721801758;79.96087646484375
2005-05-03;54.249359130859375;20.888551712036133;80.09829711914062
2005-05-04;54.30796813964844;21.142322540283203;80.71659851074219
2005-05-05;54.345184326171875;21.12577247619629;80.6890640258789
2005-05-06;54.14289474487305;21.116580963134766;80.43489837646484
2005-05-09;54.100345611572266;21.31334686279297;80.93633270263672
